Id,TimeStamp,DateTime,Dc,State,EnergyConsumption,VmsCount,MigratedVmsCount,CpuSpecs,RamSpecs,BwSpecs,SizeSpecs,CpuProv,RamProv,BwProv,SizeProv,CpuReq,RamReq,BwReq,SizeReq
23,1357005600670,2013-01-01 00:00:00,5,Running,0.1489,3,0,3000,4096,1024,327680,1894,1091,29,157286,1894,1091,29,157286
24,1357005600670,2013-01-01 00:00:00,5,Running,0.1487,3,0,3000,4096,1024,327680,1883,1108,31,157286,1883,1108,31,157286
25,1357005600670,2013-01-01 00:00:00,5,Running,0.1482,3,0,3000,4096,1024,327680,1858,1094,29,157286,1858,1094,29,157286
16,1357005600670,2012-12-31 21:00:00,4,Running,0.1473,3,0,3000,4096,1024,327680,1815,1130,28,157286,1815,1130,28,157286
17,1357005600670,2012-12-31 21:00:00,4,Running,0.1481,3,0,3000,4096,1024,327680,1855,1074,31,157286,1855,1074,31,157286
18,1357005600670,2012-12-31 21:00:00,4,Running,0.1496,3,0,3000,4096,1024,327680,1931,1082,30,157286,1931,1082,30,157286
19,1357005600670,2012-12-31 21:00:00,4,Running,0.1180,1,0,3000,4096,1024,327680,601,373,9,52429,601,373,9,52429
20,1357005600670,2012-12-31 21:00:00,4,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
11,1357005600670,2013-01-01 03:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
12,1357005600670,2013-01-01 03:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
13,1357005600670,2013-01-01 03:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
14,1357005600670,2013-01-01 03:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
15,1357005600670,2013-01-01 03:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
6,1357005600670,2013-01-01 03:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
7,1357005600670,2013-01-01 03:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
8,1357005600670,2013-01-01 03:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
9,1357005600670,2013-01-01 03:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
10,1357005600670,2013-01-01 03:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
1,1357005600670,2013-01-01 11:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
2,1357005600670,2013-01-01 11:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
3,1357005600670,2013-01-01 11:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
4,1357005600670,2013-01-01 11:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
5,1357005600670,2013-01-01 11:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
21,1357009200670,2013-01-01 01:00:00,5,Running,0.1519,3,0,3000,4096,1024,327680,2043,1230,30,157286,2043,1230,30,157286
22,1357009200670,2013-01-01 01:00:00,5,Running,0.1534,3,0,3000,4096,1024,327680,2131,1229,31,157286,2131,1229,31,157286
23,1357009200670,2013-01-01 01:00:00,5,Running,0.1534,3,0,3000,4096,1024,327680,2128,1196,29,157286,2128,1196,29,157286
24,1357009200670,2013-01-01 01:00:00,5,Running,0.1525,3,0,3000,4096,1024,327680,2076,1188,30,157286,2076,1188,30,157286
25,1357009200670,2013-01-01 01:00:00,5,Running,0.1529,3,0,3000,4096,1024,327680,2094,1206,31,157286,2094,1206,31,157286
16,1357009200670,2012-12-31 22:00:00,4,Running,0.1533,3,0,3000,4096,1024,327680,2123,1195,29,157286,2123,1195,29,157286
