Date,Timestamp,Temperature
2012-12-31 00:00:00,1356904800000,18.89
2012-12-31 01:00:00,1356908400000,18.89
2012-12-31 02:00:00,1356912000000,17.43
2012-12-31 03:00:00,1356915600000,17.22
2012-12-31 04:00:00,1356919200000,17.22
2012-12-31 05:00:00,1356922800000,17.09
2012-12-31 06:00:00,1356926400000,17.22
2012-12-31 07:00:00,1356930000000,17.78
2012-12-31 08:00:00,1356933600000,18.77
2012-12-31 09:00:00,1356937200000,21.11
2012-12-31 10:00:00,1356940800000,22.22
2012-12-31 11:00:00,1356944400000,23.24
2012-12-31 12:00:00,1356948000000,25.00
2012-12-31 13:00:00,1356951600000,23.89
2012-12-31 14:00:00,1356955200000,22.88
2012-12-31 15:00:00,1356958800000,23.89
2012-12-31 16:00:00,1356962400000,22.78
2012-12-31 17:00:00,1356966000000,22.75
2012-12-31 18:00:00,1356969600000,22.78
2012-12-31 19:00:00,1356973200000,22.22
2012-12-31 20:00:00,1356976800000,20.59
2012-12-31 21:00:00,1356980400000,20.00
2012-12-31 22:00:00,1356984000000,18.89
2012-12-31 23:00:00,1356987600000,18.63
2013-01-01 00:00:00,1356991200000,22.88
2013-01-01 01:00:00,1356994800000,23.89
2013-01-01 02:00:00,1356998400000,22.78
2013-01-01 03:00:00,1357002000000,22.75
2013-01-01 04:00:00,1357005600000,22.78
2013-01-01 05:00:00,1357009200000,22.22
2013-01-01 06:00:00,1357012800000,20.59
2013-01-01 07:00:00,1357016400000,20.00
2013-01-01 08:00:00,1357020000000,18.89
2013-01-01 09:00:00,1357023600000,18.63
2013-01-01 10:00:00,1357027200000,18.89
2013-01-01 11:00:00,1357030800000,17.78
2013-01-01 12:00:00,1357034400000,17.42
2013-01-01 13:00:00,1357038000000,17.78
2013-01-01 14:00:00,1357041600000,17.78
2013-01-01 15:00:00,1357045200000,16.54
2013-01-01 16:00:00,1357048800000,15.00
2013-01-01 17:00:00,1357052400000,17.78
2013-01-01 18:00:00,1357056000000,19.28
2013-01-01 19:00:00,1357059600000,22.78
2013-01-01 20:00:00,1357063200000,26.11
2013-01-01 21:00:00,1357066800000,25.83
2013-01-01 22:00:00,1357070400000,27.78
2013-01-01 23:00:00,1357074000000,27.22
2013-01-02 00:00:00,1357077600000,18.89
2013-01-02 01:00:00,1357081200000,17.78
2013-01-02 02:00:00,1357084800000,17.42
2013-01-02 03:00:00,1357088400000,17.78
2013-01-02 04:00:00,1357092000000,17.78
2013-01-02 05:00:00,1357095600000,16.54
2013-01-02 06:00:00,1357099200000,15.00
2013-01-02 07:00:00,1357102800000,17.78
2013-01-02 08:00:00,1357106400000,19.28
2013-01-02 09:00:00,1357110000000,22.78
2013-01-02 10:00:00,1357113600000,26.11
2013-01-02 11:00:00,1357117200000,25.83
2013-01-02 12:00:00,1357120800000,27.78
2013-01-02 13:00:00,1357124400000,27.22
2013-01-02 14:00:00,1357128000000,23.57
2013-01-02 15:00:00,1357131600000,25.00
2013-01-02 16:00:00,1357135200000,23.89
2013-01-02 17:00:00,1357138800000,22.82
2013-01-02 18:00:00,1357142400000,22.22
2013-01-02 19:00:00,1357146000000,21.11
2013-01-02 20:00:00,1357149600000,20.00
2013-01-02 21:00:00,1357153200000,19.48
2013-01-02 22:00:00,1357156800000,18.89
2013-01-02 23:00:00,1357160400000,17.22
2013-01-03 00:00:00,1357164000000,16.11
2013-01-03 01:00:00,1357167600000,16.11
2013-01-03 02:00:00,1357171200000,17.22
2013-01-03 03:00:00,1357174800000,17.26
2013-01-03 04:00:00,1357178400000,17.22
2013-01-03 05:00:00,1357182000000,17.78
2013-01-03 06:00:00,1357185600000,17.78
2013-01-03 07:00:00,1357189200000,17.78
2013-01-03 08:00:00,1357192800000,16.11
2013-01-03 09:00:00,1357196400000,17.78
2013-01-03 10:00:00,1357200000000,19.33
2013-01-03 11:00:00,1357203600000,20.86
2013-01-03 12:00:00,1357207200000,22.22
2013-01-03 13:00:00,1357210800000,22.78
2013-01-03 14:00:00,1357214400000,22.17
2013-01-03 15:00:00,1357218000000,22.22
2013-01-03 16:00:00,1357221600000,22.22
2013-01-03 17:00:00,1357225200000,21.41
2013-01-03 18:00:00,1357228800000,21.11
2013-01-03 19:00:00,1357232400000,20.00
2013-01-03 20:00:00,1357236000000,18.74
2013-01-03 21:00:00,1357239600000,18.89
2013-01-03 22:00:00,1357243200000,18.89
2013-01-03 23:00:00,1357246800000,18.14
2013-01-04 00:00:00,1357250400000,17.78
2013-01-04 01:00:00,1357254000000,17.78
2013-01-04 02:00:00,1357257600000,16.17
2013-01-04 03:00:00,1357261200000,17.22
2013-01-04 04:00:00,1357264800000,17.78
2013-01-04 05:00:00,1357268400000,17.71
2013-01-04 06:00:00,1357272000000,17.78
2013-01-04 07:00:00,1357275600000,18.89
2013-01-04 08:00:00,1357279200000,19.18
2013-01-04 09:00:00,1357282800000,21.11
2013-01-04 10:00:00,1357286400000,21.11
2013-01-04 11:00:00,1357290000000,21.04
2013-01-04 12:00:00,1357293600000,22.22
2013-01-04 13:00:00,1357297200000,22.78
2013-01-04 14:00:00,1357300800000,21.93
2013-01-04 15:00:00,1357304400000,22.22
2013-01-04 16:00:00,1357308000000,22.22
2013-01-04 17:00:00,1357311600000,20.92
2013-01-04 18:00:00,1357315200000,21.11
2013-01-04 19:00:00,1357318800000,20.00
2013-01-04 20:00:00,1357322400000,18.41
2013-01-04 21:00:00,1357326000000,17.78
2013-01-04 22:00:00,1357329600000,17.78
2013-01-04 23:00:00,1357333200000,18.14
2013-01-05 00:00:00,1357336800000,17.78
